X1,X2,X3,C
8.367429943,-6.805199977,1.640318624,2
6.43534753,-6.991200646,0.938838711,2
7.057880987,-9.371197789,1.57332148,2
5.540699887,-7.107865235,2.371479429,2
6.754389283,-6.851406472,4.153636293,2
6.383980777,-7.413572945,3.110068573,2
6.071160769,-6.335459717,3.126568858,2
6.51367615,-7.052698416,1.632642494,2
6.981837901,-6.610265907,1.13691182,2
8.664638238,-6.679750577,2.123912698,2
8.034442786,-8.797389431,2.503306317,2
8.177818286,-9.320166656,2.609004938,2
7.966324416,-8.985762118,2.649538797,2
6.313320597,-6.743565945,2.271058573,2
7.732762356,-7.927493252,1.64181738,2
7.317368272,-9.151486974,2.049955145,2
7.43022239,-7.246285467,2.042772763,2
8.632407685,-6.921499216,3.007982497,2
7.860009235,-6.589494599,1.829775976,2
5.809490948,-8.431272928,2.633821198,2
8.46847437,3.917984344,-9.632684703,3
8.141546376,4.079566887,-9.777975217,3
8.112864534,3.957463304,-9.448724416,3
8.632656662,3.904823626,-9.59121016,3
8.373500612,3.909404848,-9.281001442,3
8.081592275,3.686740069,-9.87293882,3
8.179691808,4.048865348,-9.753122931,3
8.505624474,4.006071967,-9.526494711,3
8.218636781,3.610194903,-9.342129779,3
8.320098708,4.110106503,-9.668814128,3
8.202442865,4.029357329,-9.666647589,3
8.428788953,3.839488182,-9.349819643,3
7.940967429,3.83668341,-9.855577072,3
8.302558581,3.994208861,-9.860451505,3
7.928648753,3.905495974,-9.500266674,3
8.238691143,4.171032867,-9.535810275,3
8.174847672,3.700744634,-9.810874279,3
8.184835253,3.813927172,-9.390103134,3
8.08954368,3.708211579,-9.336824536,3
8.174419007,3.838436947,-9.892822403,3
8.255895747,3.962160455,-9.259200807,3
8.001325489,3.899801944,-9.713658177,3
8.214184824,3.919922178,-9.55712086,3
8.499261261,4.16457703,-9.789018848,3
8.570578119,3.884667836,-9.87977956,3
8.284732941,3.739754315,-9.385982435,3
8.207890586,3.680574936,-9.660279727,3
8.318600861,3.635542438,-9.392250325,3
8.293390098,3.595755335,-9.675924605,3
7.984116748,3.967041202,-9.519333098,3
8.01699984,4.005426756,-9.535646235,3
8.52245458,3.882396755,-9.62942643,3
8.291543611,3.929091195,-9.467655485,3
8.048442266,4.01470219,-9.525773942,3
8.140820628,4.101575032,-9.633941826,3
8.509614461,3.922835937,-9.440127391,3
8.287191448,4.087319252,-9.280281403,3
8.466550241,4.028545972,-9.781543158,3
8.461116731,3.983246939,-9.642919087,3
8.472472539,3.673071046,-9.433770972,3
8.004178885,3.936743055,-9.485264379,3
8.198593493,4.065763987,-9.470992558,3
8.194289459,3.843654207,-9.412371291,3
8.356865818,3.647897498,-9.307967871,3
8.073767602,4.159208855,-9.50405257,3
8.328213297,3.960231546,-9.59455223,3
8.374770053,3.745032818,-9.872480019,3
8.370191059,3.728847527,-9.883463485,3
8.450193864,3.787743267,-9.46398136,3
8.261090515,3.542118797,-9.449126128,3
9.661955248,-5.073897084,-2.101266097,4
10.12176261,-3.45852914,-1.39588423,4
8.837875872,-3.352511151,-2.039056221,4
9.556281712,-2.794202325,-2.066040149,4
8.538148255,-4.522493245,-1.144992144,4
7.947127925,-5.182453322,-1.725831801,4
7.809100457,-4.94041115,-1.407283828,4
9.671395609,-3.578784935,-2.697297599,4
8.731795592,-3.762887738,-2.994169389,4
9.411322961,-3.82791021,-1.824652608,4
8.105761198,-3.963772615,-1.177971584,4
10.60628218,-4.70854377,-1.059522983,4
9.301199616,-5.05311721,-1.756294182,4
8.098490892,-3.892027675,-2.759991036,4
8.939741411,-4.12940677,-1.194039654,4
7.643933611,-4.154909292,-1.307558923,4
10.51065097,-3.773279667,-2.446350483,4
9.136208633,-2.831923993,-1.276803225,4
8.082810436,-4.532148877,-0.816469204,4
7.901835312,-3.506030713,-0.975097869,4
9.049252895,-4.415351856,-0.532152811,4
8.442255843,-4.839467842,-2.298641932,4
8.629288002,-5.592794211,-1.586721973,4
9.28700082,-2.974725806,-2.376742667,4
9.375223999,-4.824422951,-2.068351256,4
9.18511989,-3.440535637,-0.4243763,4
7.838196406,-5.387939835,-1.336650331,4
9.533207681,-4.429967751,-2.289117058,4
9.560179649,-4.075879765,-0.484320719,4
8.86887824,-5.233672574,-2.299206133,4
9.003431886,-4.274084034,-2.564579206,4
8.465474662,-3.973222606,-1.843867697,4
9.161664271,-4.58737701,-2.218957611,4
9.102711354,-4.569602753,-2.606807651,4
8.974556336,-4.609394867,-3.145928215,4
9.54704396,-3.174938309,-1.684686344,4
7.790764278,-5.195740775,-1.139708241,4
8.55553185,-3.038802048,-2.354762066,4
9.331974201,-5.917308082,-2.216930373,4
10.74083814,-4.424820109,-1.437374019,4
9.376796591,-3.879643081,-2.243101918,4
8.966437831,-3.317992513,-1.367733041,4
10.12884094,-3.368879977,-2.011750078,4
10.24389202,-5.417064718,-1.165138767,4
9.062996966,-5.633992589,-1.188297798,4
10.07682822,-3.523420961,-1.686086182,4
8.722072893,-4.055902163,-0.73159993,4
8.317030555,-4.534842458,-0.374054581,4
8.060982148,-5.469895426,-1.008955944,4
8.762607596,-5.768093,-1.589844673,4
